Distance_Feature	Speeding_Feature
71.24	28.0
52.53	25.0
64.54	27.0
55.69	22.0
54.58	25.0
41.91	10.0
58.64	20.0
52.02	8.0
31.25	34.0
44.31	19.0
49.35	40.0
58.07	45.0
44.22	22.0
55.73	19.0
46.63	43.0
52.97	32.0
46.25	35.0
51.55	27.0
57.05	26.0
58.45	30.0
43.42	23.0
55.68	37.0
55.15	18.0
43.84	22.0
59.26	32.0
37.14	41.0
64.3	29.0
45.75	16.0
45.97	23.0
56.04	39.0
33.64	45.0
41.67	33.0
50.68	39.0
54.22	35.0
56.2	29.0
46.16	41.0
50.22	24.0
49.66	33.0
38.61	37.0
55.28	36.0
57.87	41.0
61.69	12.0
37.41	21.0
53.83	32.0
62.98	22.0
46.97	13.0
58.03	24.0
59.87	36.0
81.34	31.0
48.56	26.0
17.66	23.0
46.01	21.0
45.34	26.0
39.64	31.0
51.22	36.0
36.21	31.0
47.32	55.0
54.87	27.0
58.97	6.0
57.3	42.0
59.94	32.0
61.72	25.0
53.19	23.0
35.13	38.0
48.47	20.0
51.17	43.0
42.14	39.0
54.31	35.0
48.93	32.0
53.51	44.0
51.72	24.0
49.86	10.0
49.2	41.0
60.2	39.0
54.06	20.0
72.91	30.0
61.92	40.0
44.2	24.0
60.75	39.0
68.36	37.0
56.39	20.0
38.19	15.0
66.19	27.0
58.2	17.0
47.55	22.0
37.62	16.0
17.81	26.0
31.25	29.0
61.0	41.0
40.98	33.0
53.69	24.0
51.46	9.0
64.57	29.0
53.79	23.0
64.28	34.0
38.41	24.0
58.89	42.0
44.17	33.0
50.41	43.0
63.63	28.0
45.78	24.0
55.61	20.0
67.23	5.0
49.69	38.0
54.6	30.0
40.94	59.0
43.84	36.0
56.36	19.0
69.53	23.0
51.48	19.0
52.93	41.0
55.52	8.0
52.14	23.0
62.86	21.0
37.53	33.0
63.47	25.0
62.11	33.0
43.52	25.0
47.97	27.0
42.27	37.0
56.05	30.0
62.08	37.0
35.25	53.0
39.81	25.0
60.27	33.0
53.41	22.0
56.28	27.0
53.31	25.0
55.24	30.0
44.97	29.0
40.3	43.0
47.18	42.0
46.4	34.0
35.11	15.0
54.33	38.0
54.59	64.0
61.67	50.0
52.39	19.0
52.37	6.0
40.84	25.0
27.42	27.0
44.79	31.0
59.84	37.0
36.0	45.0
47.64	10.0
51.85	37.0
59.73	15.0
42.96	37.0
51.84	27.0
59.62	23.0
58.82	30.0
50.93	30.0
41.35	23.0
24.58	45.0
57.74	22.0
38.14	33.0
51.82	20.0
41.37	17.0
55.01	24.0
64.56	53.0
46.09	35.0
57.81	20.0
46.31	23.0
66.62	37.0
42.89	17.0
40.82	23.0
50.55	41.0
40.43	40.0
53.36	25.0
44.83	27.0
35.87	35.0
46.95	23.0
47.75	20.0
57.12	26.0
38.03	43.0
54.31	45.0
50.29	39.0
33.6	24.0
45.13	44.0
31.68	31.0
72.36	4.0
48.43	55.0
44.48	36.0
56.54	20.0
54.11	50.0
49.51	29.0
50.66	36.0
61.82	23.0
50.45	15.0
67.7	43.0
41.61	12.0
39.63	31.0
36.08	31.0
45.18	27.0
49.33	28.0
48.66	45.0
53.81	25.0
35.57	44.0
48.83	39.0
69.14	40.0
60.75	59.0
52.01	39.0
47.88	45.0
40.3	30.0
48.52	30.0
55.06	37.0
48.45	28.0
58.65	40.0
69.29	21.0
51.7	21.0
69.95	18.0
53.04	37.0
47.97	27.0
64.01	26.0
61.76	23.0
49.98	28.0
81.96	27.0
56.56	25.0
51.69	30.0
54.83	40.0
54.97	39.0
44.07	27.0
45.95	40.0
42.24	22.0
43.52	49.0
51.33	31.0
56.68	55.0
51.06	24.0
41.95	28.0
53.56	27.0
47.86	45.0
43.74	34.0
41.22	39.0
45.82	42.0
44.74	25.0
53.88	30.0
44.4	29.0
59.01	35.0
53.27	19.0
45.62	25.0
53.16	53.0
50.91	51.0
33.53	42.0
46.92	33.0
59.24	35.0
48.37	32.0
50.26	21.0
38.14	30.0
63.42	26.0
57.46	14.0
63.79	33.0
58.13	30.0
56.35	41.0
52.95	3.0
55.65	27.0
29.44	34.0
49.58	39.0
31.3	33.0
43.48	29.0
48.94	34.0
